"collection","title","actual_source_path","package_path","extension","size_bytes","subjects","resource_id","resource_type","notes"
"canada-bc-curriculum","en_adst_10_textiles_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_textiles_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_textiles_elab.docx","docx","122218","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-textiles-elab.3ef33f9b.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_web-development_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_web-development_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_web-development_elab.docx","docx","124904","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-web-development-elab.dede5e75.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_woodwork_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_woodwork_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_woodwork_elab.docx","docx","121835","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-woodwork-elab.f9f54e82.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_accounting_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_accounting_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_accounting_elab.docx","docx","105823","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-accounting-elab.16e0dce7.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_automotive-technology_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_automotive-technology_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_automotive-technology_elab.docx","docx","105517","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-automotive-technology-elab.4e945411.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_computer-information-systems_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_computer-information-systems_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_computer-information-systems_elab.docx","docx","124916","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-computer-information-systems-elab.cbbeaca0.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_computer-programming_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_computer-programming_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_computer-programming_elab.docx","docx","107119","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-computer-programming-elab.5225f2fc.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_culinary-arts_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_culinary-arts_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_culinary-arts_elab.docx","docx","126375","computing;arts;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-culinary-arts-elab.3a977059.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_digital-communications_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_digital-communications_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_digital-communications_elab.docx","docx","108315","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-digital-communications-elab.dd9b3daf.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_drafting_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_drafting_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_drafting_elab.docx","docx","105757","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-drafting-elab.0f08a957.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
